Date,Vegetable,Price
2018-11-25,Cauliflower,3.23
2018-11-25,Carrots,0.3
2018-11-25,Broccoli Crowns,1.54
2018-11-25,Avocados,0.65
2018-11-18,Thompson Grapes,0.83
2018-11-18,Strawberries,2.08
2018-11-18,Red Leaf Lettuce,0.73
2018-11-18,Potatoes,1.7
2018-11-18,Oranges,0.55
2018-11-18,Iceberg Lettuce,0.72
2018-11-18,Honeydews,1.66
2018-11-18,Flame Grapes,0.81
2018-11-18,Celery,0.73
2018-11-18,Cauliflower,2.9
2018-11-18,Carrots,0.3
2018-11-18,Broccoli Crowns,1.18
2018-11-11,Thompson Grapes,0.85
2018-11-11,Strawberries,2.17
2018-11-11,Romaine Lettuce,1.06
2018-11-11,Red Leaf Lettuce,0.72
2018-11-11,Potatoes,1.7
2018-11-11,Iceberg Lettuce,0.79
2018-11-11,Oranges,0.55
2018-11-11,Honeydews,1.46
2018-11-11,Green Leaf Lettuce,0.69
2018-11-11,Flame Grapes,0.81
2018-11-11,Celery,0.77
2018-11-11,Cauliflower,2.47
2018-11-11,Carrots,0.3
2018-11-11,Broccoli Crowns,0.97
2018-11-04,Thompson Grapes,0.83
2018-11-04,Strawberries,1.06
2018-11-04,Romaine Lettuce,1.07
2018-11-04,Red Leaf Lettuce,0.4
2018-11-04,Potatoes,1.7
2018-11-04,Oranges,0.56
2018-11-04,Iceberg Lettuce,0.74
2018-11-04,Honeydews,1.33
2018-11-04,Green Leaf Lettuce,0.66
2018-11-04,Flame Grapes,0.81
2018-11-04,Celery,0.7
2018-11-04,Cauliflower,1.21
2018-11-04,Carrots,0.31
2018-11-04,Cantaloupe,1.25
2018-11-04,Broccoli Crowns,0.75
2018-10-28,Thompson Grapes,0.85
2018-10-28,Strawberries,1.1
2018-10-28,Romaine Lettuce,0.96
2018-10-28,Red Leaf Lettuce,0.41
2018-10-28,Potatoes,1.7
2018-10-28,Oranges,0.6
2018-10-28,Iceberg Lettuce,0.9
2018-10-28,Honeydews,1.33
2018-10-28,Green Leaf Lettuce,0.55
2018-10-28,Flame Grapes,0.89
2018-10-28,Celery,0.61
2018-10-28,Cauliflower,0.83
2018-10-28,Carrots,0.3
2018-10-28,Cantaloupe,1.08
2018-10-28,Broccoli Crowns,0.83
2018-10-21,Tomatoes,0.64
2018-10-21,Thompson Grapes,0.85
2018-10-21,Strawberries,1.19
2018-10-21,Romaine Lettuce,0.59
2018-10-21,Red Leaf Lettuce,0.32
2018-10-21,Potatoes,1.7
2018-10-21,Oranges,0.51
2018-10-21,Iceberg Lettuce,0.76
2018-10-21,Honeydews,1.62
2018-10-21,Green Leaf Lettuce,0.45
2018-10-21,Flame Grapes,0.89
2018-10-21,Celery,0.49
2018-10-21,Cauliflower,0.74
2018-10-21,Carrots,0.3
2018-10-21,Cantaloupe,0.83
2018-10-21,Broccoli Crowns,0.88
2018-10-14,Tomatoes,0.48
2018-10-14,Thompson Grapes,0.87
2018-10-14,Strawberries,1.31
2018-10-14,Romaine Lettuce,0.49
2018-10-14,Red Leaf Lettuce,0.32
2018-10-14,Potatoes,1.7
2018-10-14,Oranges,0.53
2018-10-14,Iceberg Lettuce,0.4
2018-10-14,Honeydews,1.83
2018-10-14,Green Leaf Lettuce,0.43
2018-10-14,Flame Grapes,0.89
2018-10-14,Celery,0.36
2018-10-14,Cauliflower,1.04
2018-10-14,Carrots,0.3
2018-10-14,Cantaloupe,0.83
2018-10-14,Broccoli Crowns,0.81
2018-10-07,Tomatoes,0.6
2018-10-07,Thompson Grapes,0.87
2018-10-07,Strawberries,1.63
2018-10-07,Romaine Lettuce,0.57
2018-10-07,Red Leaf Lettuce,0.36
2018-10-07,Potatoes,1.7
2018-10-07,Oranges,0.53
2018-10-07,Iceberg Lettuce,0.42
2018-10-07,Honeydews,1.75
2018-10-07,Green Leaf Lettuce,0.58
2018-10-07,Flame Grapes,0.89
2018-10-07,Celery,0.32
2018-10-07,Cauliflower,1.11
2018-10-07,Carrots,0.3
2018-10-07,Cantaloupe,0.87
2018-10-07,Broccoli Crowns,0.76
2018-09-30,Tomatoes,0.6
2018-09-30,Thompson Grapes,0.87
2018-09-30,Strawberries,0.92
2018-09-30,Romaine Lettuce,0.52
2018-09-30,Red Leaf Lettuce,0.36
2018-09-30,Potatoes,1.75
2018-09-30,Oranges,0.53
2018-09-30,Iceberg Lettuce,0.58
2018-09-30,Honeydews,1.5
2018-09-30,Green Leaf Lettuce,0.67
2018-09-30,Flame Grapes,0.89
2018-09-30,Celery,0.32
2018-09-30,Cauliflower,0.75
2018-09-30,Carrots,0.3
2018-09-30,Cantaloupe,1
2018-09-30,Broccoli Crowns,0.83
2018-09-26,Strawberries,1.34
2018-09-23,Tomatoes,0.52
2018-09-23,Thompson Grapes,0.89
2018-09-23,Strawberries,1.06
2018-09-23,Romaine Lettuce,0.44
2018-09-23,Red Leaf Lettuce,0.34
2018-09-23,Potatoes,1.75
2018-09-23,Oranges,0.53
2018-09-23,Iceberg Lettuce,0.75
2018-09-23,Honeydews,0.96
2018-09-23,Green Leaf Lettuce,0.56
2018-09-23,Flame Grapes,0.89
2018-09-23,Celery,0.32
2018-09-23,Cauliflower,0.6
2018-09-23,Carrots,0.3
2018-09-23,Cantaloupe,0.58
2018-09-23,Broccoli Crowns,0.82
2018-09-23,Broccoli Bunches,0.98
2018-09-23,Avocados,0.79
2018-09-16,Tomatoes,0.52
2018-09-16,Thompson Grapes,0.93
2018-09-16,Romaine Lettuce,0.39
2018-09-16,Potatoes,1.75
2018-09-16,Red Leaf Lettuce,0.3
2018-09-16,Oranges,0.53
2018-09-16,Iceberg Lettuce,0.5
2018-09-16,Honeydews,0.79
2018-09-16,Green Leaf Lettuce,0.37
2018-09-16,Flame Grapes,0.97
2018-09-16,Celery,0.35
2018-09-16,Cauliflower,0.63
2018-09-16,Carrots,0.3
2018-09-16,Cantaloupe,0.4
2018-09-16,Broccoli Crowns,0.77
2018-09-16,Avocados,0.82
2018-09-12,Broccoli Crowns,0.82
2018-09-09,Tomatoes,0.4
2018-09-09,Strawberries,1.47
2018-09-09,Romaine Lettuce,0.39
2018-09-09,Red Leaf Lettuce,0.33
2018-09-09,Potatoes,1.75
2018-09-09,Plums,0.71
2018-09-09,Peaches,0.64
2018-09-09,Oranges,0.53
2018-09-09,Iceberg Lettuce,0.38
2018-09-09,Honeydews,0.96
2018-09-09,Green Leaf Lettuce,0.35
2018-09-09,Flame Grapes,0.97
2018-09-09,Celery,0.38
2018-09-09,Cauliflower,0.77
2018-09-09,Carrots,0.3
2018-09-09,Cantaloupe,0.4
2018-09-09,Broccoli Crowns,0.58
2018-09-09,Avocados,0.9
2018-09-02,Tomatoes,0.38
2018-09-02,Strawberries,1.31
2018-09-02,Romaine Lettuce,0.39
2018-09-02,Red Leaf Lettuce,0.32
2018-09-02,Peaches,0.64
2018-09-02,Oranges,0.53
2018-09-02,Nectarines,0.66
2018-09-02,Iceberg Lettuce,0.4
2018-09-02,Honeydews,1
2018-09-02,Green Leaf Lettuce,0.35
2018-09-02,Flame Grapes,0.97
2018-09-02,Celery,0.4
2018-09-02,Cauliflower,1.35
2018-09-02,Carrots,0.3
2018-09-02,Cantaloupe,0.5
2018-09-02,Avocados,0.94
2018-08-26,Tomatoes,0.52
2018-08-26,Thompson Grapes,0.79
2018-08-26,Strawberries,1.22
2018-08-26,Romaine Lettuce,0.38
2018-08-26,Red Leaf Lettuce,0.29
2018-08-26,Oranges,0.53
2018-08-26,Iceberg Lettuce,0.42
2018-08-26,Honeydews,1
2018-08-26,Green Leaf Lettuce,0.34
2018-08-26,Flame Grapes,0.97
2018-08-26,Celery,0.33
2018-08-26,Cauliflower,1.09
2018-08-26,Carrots,0.3
2018-08-26,Cantaloupe,0.5
2018-08-26,Broccoli Crowns,0.78
2018-08-26,Avocados,0.88
2018-08-19,Tomatoes,0.42
2018-08-19,Thompson Grapes,0.94
2018-08-19,Strawberries,1.03
2018-08-19,Romaine Lettuce,0.39
2018-08-19,Red Leaf Lettuce,0.32
2018-08-19,Plums,0.71
2018-08-19,Peaches,0.64
2018-08-19,Oranges,0.53
2018-08-19,Nectarines,0.66
2018-08-19,Iceberg Lettuce,0.54
2018-08-19,Honeydews,1
2018-08-19,Green Leaf Lettuce,0.35
2018-08-19,Flame Grapes,0.84
2018-08-19,Celery,0.3
2018-08-19,Cauliflower,0.79
2018-08-19,Carrots,0.3
2018-08-19,Cantaloupe,0.48
2018-08-19,Broccoli Crowns,0.55
2018-08-19,Broccoli Bunches,0.68
2018-08-19,Avocados,1.15
2018-08-12,Tomatoes,0.44
2018-08-12,Thompson Grapes,0.94
2018-08-12,Strawberries,0.69
2018-08-12,Romaine Lettuce,0.34
2018-08-12,Red Leaf Lettuce,0.3
2018-08-12,Potatoes,1.8
2018-08-12,Plums,0.71
2018-08-12,Peaches,0.64
2018-08-12,Oranges,0.53
2018-08-12,Nectarines,0.66
2018-08-12,Iceberg Lettuce,0.81
2018-08-12,Honeydews,1
2018-08-12,Green Leaf Lettuce,0.34
2018-08-12,Flame Grapes,0.89
2018-08-12,Celery,0.31
2018-08-12,Cauliflower,0.7
2018-08-12,Carrots,0.3
2018-08-12,Cantaloupe,0.48
2018-08-12,Broccoli Crowns,0.75
2018-08-12,Avocados,1.18
2018-08-05,Tomatoes,0.4
2018-08-05,Thompson Grapes,0.94
2018-08-05,Strawberries,0.69
2018-08-05,Romaine Lettuce,0.29
2018-08-05,Red Leaf Lettuce,0.3
2018-08-05,Potatoes,1.8
2018-08-05,Plums,0.86
2018-08-05,Peaches,0.54
2018-08-05,Oranges,0.53
2018-08-05,Nectarines,0.72
2018-08-05,Iceberg Lettuce,0.5
2018-08-05,Honeydews,0.79
2018-08-05,Green Leaf Lettuce,0.3
2018-08-05,Flame Grapes,0.94
2018-08-05,Celery,0.31
2018-08-05,Cauliflower,0.67
2018-08-05,Carrots,0.3
2018-08-05,Cantaloupe,0.9
2018-08-05,Broccoli Crowns,0.9
2018-08-05,Broccoli Bunches,1.07
2018-08-05,Avocados,1.23
2018-07-29,Tomatoes,0.42
2018-07-29,Thompson Grapes,1
2018-07-29,Strawberries,0.69
2018-07-29,Romaine Lettuce,0.29
2018-07-29,Red Leaf Lettuce,0.29
2018-07-29,Potatoes,1.8
2018-07-29,Peaches,0.64
2018-07-29,Oranges,0.53
2018-07-29,Iceberg Lettuce,0.35
2018-07-29,Honeydews,0.58
2018-07-29,Green Leaf Lettuce,0.3
2018-07-29,Flame Grapes,0.87
2018-07-29,Celery,0.32
2018-07-29,Cauliflower,0.65
2018-07-29,Carrots,0.3
2018-07-29,Cantaloupe,0.38
2018-07-29,Broccoli Crowns,0.66
2018-07-29,Avocados,1.03
2018-07-25,Flame Grapes,1.05
2018-07-25,Cauliflower,0.64
2018-07-25,Broccoli Bunches,0.53
2018-07-22,Tomatoes,0.34
2018-07-22,Strawberries,0.84
2018-07-22,Romaine Lettuce,0.3
2018-07-22,Red Leaf Lettuce,0.3
2018-07-22,Potatoes,1.8
2018-07-22,Plums,0.86
2018-07-22,Peaches,0.64
2018-07-22,Oranges,0.53
2018-07-22,Nectarines,0.72
2018-07-22,Iceberg Lettuce,0.37
2018-07-22,Honeydews,0.67
2018-07-22,Green Leaf Lettuce,0.32
2018-07-22,Flame Grapes,1.01
2018-07-22,Celery,0.35
2018-07-22,Cauliflower,0.66
2018-07-22,Carrots,0.3
2018-07-22,Cantaloupe,0.38
2018-07-22,Broccoli Crowns,0.48
2018-07-22,Broccoli Bunches,0.44
2018-07-22,Avocados,0.86
2018-07-15,Tomatoes,0.34
2018-07-15,Thompson Grapes,1.16
2018-07-15,Strawberries,1.22
2018-07-15,Romaine Lettuce,0.31
2018-07-15,Red Leaf Lettuce,0.3
2018-07-15,Potatoes,1.8
2018-07-15,Peaches,0.64
2018-07-15,Oranges,0.53
2018-07-15,Nectarines,0.72
2018-07-15,Iceberg Lettuce,0.55
2018-07-15,Honeydews,0.83
2018-07-15,Green Leaf Lettuce,0.34
2018-07-15,Celery,0.48
2018-07-15,Carrots,0.3
2018-07-15,Cantaloupe,0.42
2018-07-15,Broccoli Crowns,0.42
2018-07-15,Avocados,0.87
2018-07-08,Tomatoes,0.36
2018-07-08,Strawberries,1.16
2018-07-08,Romaine Lettuce,0.32
2018-07-08,Red Leaf Lettuce,0.3
2018-07-08,Potatoes,1.75
2018-07-08,Plums,0.86
2018-07-08,Peaches,0.64
2018-07-08,Oranges,0.53
2018-07-08,Nectarines,0.72
2018-07-08,Iceberg Lettuce,0.4
2018-07-08,Honeydews,0.83
2018-07-08,Green Leaf Lettuce,0.33
2018-07-08,Celery,0.52
2018-07-08,Cauliflower,0.6
2018-07-08,Carrots,0.3
2018-07-08,Cantaloupe,0.46
2018-07-08,Broccoli Crowns,0.6
2018-07-08,Broccoli Bunches,0.44
2018-07-08,Avocados,0.87
2018-07-01,Tomatoes,0.36
2018-07-01,Thompson Grapes,1.39
2018-07-01,Strawberries,1
2018-07-01,Romaine Lettuce,0.31
2018-07-01,Red Leaf Lettuce,0.31
2018-07-01,Potatoes,1.75
2018-07-01,Oranges,0.53
2018-07-01,Nectarines,0.76
2018-07-01,Iceberg Lettuce,0.41
2018-07-01,Honeydews,1.08
2018-07-01,Green Leaf Lettuce,0.3
2018-07-01,Celery,0.53
2018-07-01,Cauliflower,0.64
2018-07-01,Carrots,0.3
2018-07-01,Cantaloupe,0.46
2018-07-01,Broccoli Crowns,0.61
2018-07-01,Broccoli Bunches,0.47
2018-07-01,Avocados,0.89
2018-06-24,Tomatoes,0.32
2018-06-24,Thompson Grapes,1.44
2018-06-24,Strawberries,1.06
2018-06-24,Romaine Lettuce,0.31
2018-06-24,Red Leaf Lettuce,0.29
2018-06-24,Potatoes,1.65
2018-06-24,Plums,1.14
2018-06-24,Oranges,0.53
2018-06-24,Iceberg Lettuce,0.52
2018-06-24,Honeydews,1.58
2018-06-24,Green Leaf Lettuce,0.29
2018-06-24,Flame Grapes,1.44
2018-06-24,Celery,0.46
2018-06-24,Cauliflower,0.65
2018-06-24,Carrots,0.29
2018-06-24,Cantaloupe,0.54
2018-06-24,Broccoli Crowns,0.49
2018-06-24,Broccoli Bunches,0.41
2018-06-24,Avocados,0.89
2018-06-17,Thompson Grapes,1.89
2018-06-17,Strawberries,0.81
2018-06-17,Romaine Lettuce,0.3
2018-06-17,Red Leaf Lettuce,0.29
2018-06-17,Potatoes,1.65
2018-06-17,Oranges,0.53
2018-06-17,Iceberg Lettuce,0.71
2018-06-17,Honeydews,1.83
2018-06-17,Green Leaf Lettuce,0.3
2018-06-17,Flame Grapes,1.66
2018-06-17,Celery,0.31
2018-06-17,Cauliflower,0.65
2018-06-17,Carrots,0.29
2018-06-17,Cantaloupe,0.54
2018-06-17,Broccoli Crowns,0.45
2018-06-17,Broccoli Bunches,0.46
2018-06-17,Avocados,0.86
2018-06-10,Thompson Grapes,1.89
2018-06-10,Strawberries,0.84
2018-06-10,Romaine Lettuce,0.28
2018-06-10,Red Leaf Lettuce,0.29
2018-06-10,Potatoes,1.7
2018-06-10,Peaches,0.72
